Resources, CLASS/INTERFACE, 3114, 42, 1, android.content.res.Resources, @null
getResources(), METHOD, 3115, 16, 1, android.content.Context.getResources(), @null
Build, CLASS/INTERFACE, 5057, 68, 1, android.os.Build, @null
ActionBar, CLASS/INTERFACE, 5077, 59, 1, android.app.ActionBar, @null
Activity, CLASS/INTERFACE, 6022, 1, 1, android.app.Activity, @null
Activity, CLASS/INTERFACE, 6037, 71, 1, android.app.Activity, @null
Activity, CLASS/INTERFACE, 6962, 37, 1, android.app.Activity, @null
onCreate(), METHOD, 7057, 1, 1, android.app.Activity.onCreate(android.os.Bundle), @null
onStart(), METHOD, 7057, 151, 1, android.app.Activity.onStart(), @null
onResume(), METHOD, 7057, 294, 1, android.app.Activity.onResume(), @null
onCreate(), METHOD, 7066, 83, 1, android.app.Activity.onCreate(android.os.Bundle), @null
Activity, CLASS/INTERFACE, 7066, 230, 1, android.app.Activity, @null
MAIN, CLASS/INTERFACE, 7075, 144, 1, android.content.Intent.ACTION_MAIN, @null
LAUNCHER, CLASS/INTERFACE, 7076, 1, 1, android.content.Intent.CATEGORY_LAUNCHER, @null
Activity, CLASS/INTERFACE, 7088, 45, 1, android.app.Activity, @null
MAIN, CLASS/INTERFACE, 7091, 18, 1, android.content.Intent.ACTION_MAIN, @null
LAUNCHER, CLASS/INTERFACE, 7092, 1, 1, android.content.Intent.CATEGORY_LAUNCHER, @null
Activity, CLASS/INTERFACE, 7102, 23, 1, android.app.Activity, @null
onCreate(), METHOD, 7102, 140, 1, android.app.Activity.onCreate(android.os.Bundle), @null
onCreate(), METHOD, 7104, 27, 1, android.app.Activity.onCreate(android.os.Bundle), @null
onCreate(), METHOD, 7106, 33, 1, android.app.Activity.onCreate(android.os.Bundle), @null
onCreate(), METHOD, 7109, 46, 1, android.app.Activity.onCreate(android.os.Bundle), @null
SDK_INT, CLASS/INTERFACE, 7138, 56, 1, android.os.Build.SDK_INT, @null
onCreate(), METHOD, 7142, 13, 1, android.app.Activity.onCreate(android.os.Bundle), @null
onStart(), METHOD, 7143, 11, 1, android.app.Activity.onStart(), @null
onResume(), METHOD, 7143, 128, 1, android.app.Activity.onResume(), @null
onStart(), METHOD, 7145, 43, 1, android.app.Activity.onStart(), @null
onResume(), METHOD, 7146, 1, 1, android.app.Activity.onResume(), @null
onStart(), METHOD, 7150, 81, 1, android.app.Activity.onStart(), @null
