spring(), METHOD, 138, 193, 2.2.1 Core Container, null, @null
spring(), METHOD, 139, 1, 2.2.1 Core Container, null, @null
spring(), METHOD, 139, 44, 2.2.1 Core Container, null, @null
spring(), METHOD, 139, 89, 2.2.1 Core Container, null, @null
spring(), METHOD, 139, 146, 2.2.1 Core Container, null, @null
spring(), METHOD, 141, 8, 2.2.1 Core Container, null, @null
spring(), METHOD, 141, 53, 2.2.1 Core Container, null, @null
BeanFactory, CLASS/INTERFACE, 143, 1, 2.2.1 Core Container, org.springframework.beans.factory.support.AbstractBeanFactory, @null
spring(), METHOD, 146, 173, 2.2.1 Core Container, null, @null
ApplicationContext, CLASS/INTERFACE, 153, 5, 2.2.1 Core Container, org.springframework.context.support.GenericGroovyApplicationContext, @null
spring(), METHOD, 154, 1, 2.2.1 Core Container, null, @null
spring(), METHOD, 158, 8, 2.2.1 Core Container, null, @null
spring(), METHOD, 168, 8, 2.2.2 AOP and Instrumentation, null, @null
spring(), METHOD, 174, 17, 2.2.2 AOP and Instrumentation, null, @null
spring(), METHOD, 175, 8, 2.2.2 AOP and Instrumentation, null, @null
spring(), METHOD, 176, 64, 2.2.2 AOP and Instrumentation, null, @null
spring(), METHOD, 180, 34, 2.2.3 Messaging, null, @null
Message, CLASS/INTERFACE, 181, 75, 2.2.3 Messaging, org.springframework.messaging.Message, @null
MessageChannel, CLASS/INTERFACE, 181, 113, 2.2.3 Messaging, org.springframework.messaging.MessageChannel, @null
MessageHandler, CLASS/INTERFACE, 181, 158, 2.2.3 Messaging, org.springframework.messaging.simp.annotation.support.SimpAnnotationMethodMessageHandlerTests.TestSimpAnnotationMethodMessageHandler, @null
spring(), METHOD, 189, 8, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 192, 8, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 195, 8, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 197, 159, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 201, 8, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 203, 8, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 205, 1, 2.2.4 Data Access/Integration, null, @null
spring(), METHOD, 208, 73, 2.2.5 Web, null, @null
spring(), METHOD, 208, 114, 2.2.5 Web, null, @null
spring(), METHOD, 208, 158, 2.2.5 Web, null, @null
spring(), METHOD, 209, 1, 2.2.5 Web, null, @null
spring(), METHOD, 210, 8, 2.2.5 Web, null, @null
