CloseableHttpClient, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.impl.client.CloseableHttpClient, @
httpclient, UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.impl.client.integration.TestCookieVirtualHost.httpclient, @null
HttpClients.createDefault(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.impl.client.HttpClients.createDefault(), @CONTROLLER
HttpGet, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet, @DATA_CLASS
HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR
CloseableHttpResponse, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.client.methods.CloseableHttpResponse, @INTERFACE
response, UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.nio.protocol.TestBasicAsyncResponseConsumer.response, @null
httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @
response.close(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.entity.LazyDecompressingInputStream.close(), @
1.1(), UNIDENTIFIED-TYPE, 2139, 5, 5.1 Easy to use facade API, org.apache.http.entity.mime.TestMultipartContentBody.testStringBodyInvalidConstruction1(), @null
1.1(), UNIDENTIFIED-TYPE, 80, 13, 1.1.2 HTTP response, org.apache.http.entity.mime.TestMultipartContentBody.testStringBodyInvalidConstruction1(), @null
1.1(), UNIDENTIFIED-TYPE, 80, 13, 1.1.2 HTTP response, org.apache.http.entity.mime.TestMultipartContentBody.testStringBodyInvalidConstruction1(), @null
HttpGet, CLASS/INTERFACE, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet, @DATA_CLASS
HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR
URIBuilder(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.URIBuilder(), @null
setScheme(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setScheme(), @
setHost(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setHost(), @
setPath(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setPath(), @
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @
build(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.entity.EntityBuilder.build(), @
HttpGet, CLASS/INTERFACE, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet, @DATA_CLASS
HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @CONSTRUCTOR
HttpResponse, CLASS/INTERFACE, 70, 13, 1.1.2 HTTP response, org.apache.http.client.methods.CloseableHttpResponse, @
response, UNIDENTIFIED-TYPE, 70, 13, 1.1.2 HTTP response, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 70, 13, 1.1.2 HTTP response, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
HttpResponse, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @
response, UNIDENTIFIED-TYPE, 92, 13, 1.1.3 Working with message headers, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
response.addHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
response.addHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
Header, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.entity.mime.Header, @null
response.getFirstHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.getFirstHeader(), @null
Header, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.entity.mime.Header, @null
response.getLastHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.getLastHeader(), @null
response.getHeaders(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.getHeaders(), @null
Set(), METHOD, 107, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
Set(), METHOD, 107, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
HttpResponse, CLASS/INTERFACE, 114, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @
response, UNIDENTIFIED-TYPE, 114, 13, 1.1.3 Working with message headers, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
response.addHeader(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
response.addHeader(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
HeaderIterator, CLASS/INTERFACE, 114, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicListHeaderIterator, @null
response.headerIterator(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.headerIterator(), @null
Set(), METHOD, 129, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
Set(), METHOD, 129, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
HttpResponse, CLASS/INTERFACE, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @
response, UNIDENTIFIED-TYPE, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
response.addHeader(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
response.addHeader(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
HeaderElementIterator, CLASS/INTERFACE, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHeaderElementIterator, @null
