AuthCache, org.apache.http.client.AuthCache
AuthScheme, org.apache.http.auth.AuthScheme
AuthScope, org.apache.http.auth.AuthScope
AuthState, org.apache.http.auth.AuthState
BasicAuthCache(), org.apache.http.impl.client.BasicAuthCache.BasicAuthCache()
BasicClientCookie(), org.apache.http.impl.cookie.BasicClientCookie.BasicClientCookie()
BasicClientCookie, org.apache.http.impl.cookie.BasicClientCookie
BasicCookieStore(), org.apache.http.impl.client.BasicCookieStore.BasicCookieStore()
BasicCookieStore, org.apache.http.impl.client.BasicCookieStore
BasicCredentialsProvider(), org.apache.http.impl.client.BasicCredentialsProvider.BasicCredentialsProvider()
BasicCredentialsProvider, org.apache.http.impl.client.BasicCredentialsProvider
BasicHttpClientConnectionManager, org.apache.http.impl.conn.BasicHttpClientConnectionManager
BasicScheme(), org.apache.http.impl.auth.BasicScheme.BasicScheme()
BasicScheme, org.apache.http.impl.auth.BasicScheme
CacheConfig, org.apache.http.impl.client.cache.CacheConfig
CacheConfig.custom(), org.apache.http.impl.client.cache.CacheConfig.custom()
CacheResponseStatus, org.apache.http.client.cache.CacheResponseStatus
CachingHttpClients.custom(), org.apache.http.impl.client.cache.CachingHttpClients.custom()
ClientConnectionManager.closeExpiredConnections(), org.apache.http.conn.ClientConnectionManager.closeExpiredConnections()
ClientConnectionManager.closeIdleConnections(), org.apache.http.conn.ClientConnectionManager.closeIdleConnections()
ClientCookie, org.apache.http.cookie.ClientCookie
ClientProtocolException, org.apache.http.client.ClientProtocolException
ClientProtocolException, org.apache.http.client.ClientProtocolException
CloseableHttpClient, org.apache.http.impl.client.CloseableHttpClient
CloseableHttpClient, org.apache.http.impl.client.CloseableHttpClient
CloseableHttpResponse, org.apache.http.client.methods.CloseableHttpResponse
ConnectionKeepAliveStrategy, org.apache.http.conn.ConnectionKeepAliveStrategy
ConnectionKeepAliveStrategy(), org.apache.http.conn.ConnectionKeepAliveStrategy.ConnectionKeepAliveStrategy()
ConnectionPoolTimeoutException, org.apache.http.conn.ConnectionPoolTimeoutException
ConnectionRequest, org.apache.http.conn.ConnectionRequest
ConnectionRequest.cancel(), org.apache.http.conn.ConnectionRequest.cancel()
ConnectionRequest.get(), org.apache.http.conn.ConnectionRequest.get()
ConnectionSocketFactory, org.apache.http.conn.socket.ConnectionSocketFactory
Cookie, org.apache.http.cookie.Cookie
CookieOrigin, org.apache.http.cookie.CookieOrigin
CookieSpec, org.apache.http.cookie.CookieSpec
CookieSpecProvider, org.apache.http.cookie.CookieSpecProvider
CookieStore, org.apache.http.client.CookieStore
CredentialsProvider, org.apache.http.client.CredentialsProvider
DefaultHostnameVerifier(), org.apache.http.conn.ssl.DefaultHostnameVerifier.DefaultHostnameVerifier()
DefaultHostnameVerifier, org.apache.http.conn.ssl.DefaultHostnameVerifier
DefaultHostnameVerifier, org.apache.http.conn.ssl.DefaultHostnameVerifier
DefaultProxyRoutePlanner(), org.apache.http.impl.conn.DefaultProxyRoutePlanner.DefaultProxyRoutePlanner()
DefaultProxyRoutePlanner, org.apache.http.impl.conn.DefaultProxyRoutePlanner
DefaultUserTokenHandler, org.apache.http.impl.client.DefaultUserTokenHandler
Executor, org.apache.http.client.fluent.Executor
Executor.newInstance(), org.apache.http.client.fluent.Executor.newInstance()
FutureRequestExecutionService(), org.apache.http.impl.client.FutureRequestExecutionService.FutureRequestExecutionService()
FutureRequestExecutionService, org.apache.http.impl.client.FutureRequestExecutionService
HttpCacheContext, org.apache.http.client.cache.HttpCacheContext
HttpCacheContext.create(), org.apache.http.client.cache.HttpCacheContext.create()
HttpClient, org.apache.http.client.HttpClient
HttpClientBuilder.create(), org.apache.http.impl.client.HttpClientBuilder.create()
HttpClientConnectionManager, org.apache.http.conn.HttpClientConnectionManager
HttpClientContext, org.apache.http.client.protocol.HttpClientContext
HttpClientContext.create(), org.apache.http.client.protocol.HttpClientContext.create()
HttpClients, org.apache.http.impl.client.HttpClients
HttpClients.createDefault(), org.apache.http.impl.client.HttpClients.createDefault()
HttpClients.custom(), org.apache.http.impl.client.HttpClients.custom()
HttpConnectionFactory, org.apache.http.conn.HttpConnectionFactory
HttpDelete, org.apache.http.client.methods.HttpDelete
HttpEntity, org.apache.http.HttpEntity
HttpGet(), org.apache.http.client.methods.HttpGet.HttpGet()
HttpGet(), org.apache.http.client.methods.HttpGet.HttpGet()
HttpGet, org.apache.http.client.methods.HttpGet
HttpHead, org.apache.http.client.methods.HttpHead
HttpOptions, org.apache.http.client.methods.HttpOptions
HttpPost(), org.apache.http.client.methods.HttpPost.HttpPost()
HttpPost, org.apache.http.client.methods.HttpPost
HttpPut, org.apache.http.client.methods.HttpPut
HttpResponse, org.apache.http.HttpResponse
HttpRoute(), org.apache.http.conn.routing.HttpRoute.HttpRoute()
HttpRoute, org.apache.http.conn.routing.HttpRoute
HttpRouteDirector, org.apache.http.conn.routing.HttpRouteDirector
HttpRoutePlanner, org.apache.http.conn.routing.HttpRoutePlanner
HttpRoutePlanner, org.apache.http.conn.routing.HttpRoutePlanner
HttpTrace, org.apache.http.client.methods.HttpTrace
LayeredConnectionSocketFactory, org.apache.http.conn.socket.LayeredConnectionSocketFactory
ManagedHttpClientConnection, org.apache.http.conn.ManagedHttpClientConnection
ManagedHttpClientConnectionFactory(), org.apache.http.impl.conn.ManagedHttpClientConnectionFactory.ManagedHttpClientConnectionFactory()
NTCredentials, org.apache.http.auth.NTCredentials
PlainConnectionSocketFactory, org.apache.http.conn.socket.PlainConnectionSocketFactory
PlainConnectionSocketFactory.getSocketFactory(), org.apache.http.conn.socket.PlainConnectionSocketFactory.getSocketFactory()
PoolingHttpClientConnectionManager(), org.apache.http.impl.conn.PoolingHttpClientConnectionManager.PoolingHttpClientConnectionManager()
PoolingHttpClientConnectionManager, org.apache.http.impl.conn.PoolingHttpClientConnectionManager
PublicSuffixMatcher, org.apache.http.conn.util.PublicSuffixMatcher
PublicSuffixMatcherLoader.getDefault(), org.apache.http.conn.util.PublicSuffixMatcherLoader.getDefault()
PublicSuffixMatcherLoader.load(), org.apache.http.conn.util.PublicSuffixMatcherLoader.load()
RequestConfig, org.apache.http.client.config.RequestConfig
RequestConfig.copy(), org.apache.http.client.config.RequestConfig.copy()
RequestConfig.custom(), org.apache.http.client.config.RequestConfig.custom()
ResponseHandler, org.apache.http.client.ResponseHandler
RouteInfo, org.apache.http.conn.routing.RouteInfo
SSLConnectionSocketFactory(), org.apache.http.conn.ssl.SSLConnectionSocketFactory.SSLConnectionSocketFactory()
SSLConnectionSocketFactory, org.apache.http.conn.ssl.SSLConnectionSocketFactory
SetCookie, org.apache.http.cookie.SetCookie
SystemDefaultRoutePlanner, org.apache.http.impl.conn.SystemDefaultRoutePlanner
URIBuilder, org.apache.http.client.utils.URIBuilder
UsernamePasswordCredentials(), org.apache.http.auth.UsernamePasswordCredentials.UsernamePasswordCredentials()
UsernamePasswordCredentials, org.apache.http.auth.UsernamePasswordCredentials
build(), org.apache.http.client.utils.URIBuilder.build()
cachingClient.execute(), org.apache.http.impl.client.CloseableHttpClient.execute()
cm.setDefaultMaxPerRoute(), org.apache.http.impl.conn.PoolingHttpClientConnectionManager.setDefaultMaxPerRoute()
cm.setMaxPerRoute(), org.apache.http.impl.conn.PoolingHttpClientConnectionManager.setMaxPerRoute()
cm.setMaxTotal(), org.apache.http.impl.conn.PoolingHttpClientConnectionManager.setMaxTotal()
connMgr.closeExpiredConnections(), org.apache.http.conn.HttpClientConnectionManager.closeExpiredConnections()
connMgr.closeIdleConnections(), org.apache.http.conn.HttpClientConnectionManager.closeIdleConnections()
connMrg.connect(), org.apache.http.impl.conn.BasicHttpClientConnectionManager.connect()
connMrg.releaseConnection(), org.apache.http.impl.conn.BasicHttpClientConnectionManager.releaseConnection()
connMrg.requestConnection(), org.apache.http.impl.conn.BasicHttpClientConnectionManager.requestConnection()
connMrg.routeComplete(), org.apache.http.impl.conn.BasicHttpClientConnectionManager.routeComplete()
connRequest.get(), org.apache.http.conn.ConnectionRequest.get()
context.getCacheResponseStatus(), org.apache.http.client.cache.HttpCacheContext.getCacheResponseStatus()
context.getCookieOrigin(), org.apache.http.client.protocol.HttpClientContext.getCookieOrigin()
context.getCookieSpec(), org.apache.http.client.protocol.HttpClientContext.getCookieSpec()
context.getProxyAuthState(), org.apache.http.client.protocol.HttpClientContext.getProxyAuthState()
context.getTargetAuthState(), org.apache.http.client.protocol.HttpClientContext.getTargetAuthState()
context.setAuthCache(), org.apache.http.client.protocol.HttpClientContext.setAuthCache()
context.setAuthSchemeRegistry(), org.apache.http.client.protocol.HttpClientContext.setAuthSchemeRegistry()
context.setCookieSpecRegistry(), org.apache.http.client.protocol.HttpClientContext.setCookieSpecRegistry()
context.setCookieStore(), org.apache.http.client.protocol.HttpClientContext.setCookieStore()
context.setCredentialsProvider(), org.apache.http.client.protocol.HttpClientContext.setCredentialsProvider()
context2.setUserToken(), org.apache.http.client.protocol.HttpClientContext.setUserToken()
cookie.setAttribute(), org.apache.http.impl.cookie.BasicClientCookie.setAttribute()
cookie.setDomain(), org.apache.http.impl.cookie.BasicClientCookie.setDomain()
cookie.setPath(), org.apache.http.impl.cookie.BasicClientCookie.setPath()
cookieStore.addCookie(cookie), org.apache.http.impl.client.BasicCookieStore.addCookie(Cookie cookie)
createDefault(), org.apache.http.impl.client.HttpClients.createDefault()
creds.getPassword(), org.apache.http.auth.UsernamePasswordCredentials.getPassword()
creds.getUserPrincipal(), org.apache.http.auth.UsernamePasswordCredentials.getUserPrincipal()
credsProvider.getCredentials(), org.apache.http.client.CredentialsProvider.getCredentials()
credsProvider.setCredentials(), org.apache.http.client.CredentialsProvider.setCredentials()
executor.execute(), org.apache.http.client.fluent.Executor.execute()
getURI(), org.apache.http.client.methods.HttpGet.getURI()
httpClient.close(), org.apache.http.impl.client.CloseableHttpClient.close()
httpClient.execute(), org.apache.http.client.methods.CloseableHttpResponse.execute()
httpClient.execute(), org.apache.http.impl.client.CloseableHttpClient.execute()
httpGet.setConfig(), org.apache.http.client.methods.HttpRequestBase.setConfig()
httpclient.execute(), org.apache.http.client.methods.CloseableHttpResponse.execute()
httpclient.execute(), org.apache.http.impl.client.CloseableHttpClient.execute()
httppost.setEntity(), org.apache.http.client.methods.HttpEntityEnclosingRequestBase.setEntity()
SystemDefaultRoutePlanner(), org.apache.http.impl.conn.SystemDefaultRoutePlanner.SystemDefaultRoutePlanner()
proxyAuthState.getAuthScheme(), org.apache.http.auth.AuthState.getAuthScheme()
proxyAuthState.getCredentials(), org.apache.http.auth.AuthState.getCredentials()
proxyAuthState.getState(), org.apache.http.auth.AuthState.getState()
response.close(), org.apache.PublicSuffixMatcherLoaderttp.impl.client.CloseableHttpClient.close()
response.close(), org.apache.http.impl.client.CloseableHttpClient.close()
response.getEntity(), org.apache.http.client.methods.CloseableHttpResponse.getEntity()
response1.close(), org.apache.http.client.methods.CloseableHttpResponse.close()
response1.getEntity(), org.apache.http.client.methods.CloseableHttpResponse.getEntity()
response2.close(), org.apache.http.client.methods.CloseableHttpResponse.close()
response2.close(), org.apache.http.client.methods.CloseableHttpResponse.close()
response2.getEntity(), org.apache.http.client.methods.CloseableHttpResponse.getEntity()
setHost(), org.apache.http.client.utils.URIBuilder.setHost()
setParameter(), org.apache.http.client.utils.URIBuilder.setParameter()
setPath(), org.apache.http.client.utils.URIBuilder.setPath()
setScheme(), org.apache.http.client.utils.URIBuilder.setScheme()
sf.connectSocket(), org.apache.http.conn.socket.PlainConnectionSocketFactory.connectSocket()
sf.createSocket(), org.apache.http.conn.socket.PlainConnectionSocketFactory.createSocket()
targetAuthState.getAuthScheme(), org.apache.http.auth.AuthState.getAuthScheme()
targetAuthState.getCredentials(), org.apache.http.auth.AuthState.getCredentials()
targetAuthState.getState(), org.apache.http.auth.AuthState.getState()
