org.apache.http.client.fluent.TestFluent, @stereotype BOUNDARY
org.apache.http.client.fluent.ContentResponseHandler, @stereotype FACTORY
org.apache.http.client.fluent.InternalFileEntity, @stereotype 
org.apache.http.client.fluent.InternalInputStreamEntity, @stereotype DATA_PROVIDER
org.apache.http.client.fluent.Request, @stereotype 
org.apache.http.client.fluent.HttpHeader, @stereotype POOL
org.apache.http.client.fluent.InternalEntityEnclosingHttpRequest, @stereotype 
org.apache.http.client.fluent.Executor, @stereotype BOUNDARY COMMANDER
org.apache.http.client.fluent.InternalByteArrayEntity, @stereotype 
org.apache.http.client.fluent.InternalHttpRequest, @stereotype 
org.apache.http.client.fluent.Form, @stereotype FACTORY
org.apache.http.client.fluent.Content, @stereotype 
org.apache.http.entity.mime.TestMultipartFormHttpEntity, @stereotype BOUNDARY
org.apache.http.entity.mime.TestMultipartEntityBuilder, @stereotype BOUNDARY
org.apache.http.entity.mime.TestMultipartContentBody, @stereotype 
org.apache.http.entity.mime.FormBodyPartTest, @stereotype BOUNDARY
org.apache.http.entity.mime.TestMultipartForm, @stereotype BOUNDARY COMMANDER
org.apache.http.entity.mime.TestFormBodyPartBuilder, @stereotype BOUNDARY
org.apache.http.entity.mime.FormBodyPartBuilder, @stereotype BOUNDARY
org.apache.http.entity.mime.HttpStrictMultipart, @stereotype BOUNDARY DATA_PROVIDER
org.apache.http.entity.mime.HttpRFC6532Multipart, @stereotype BOUNDARY DATA_PROVIDER
org.apache.http.entity.mime.MinimalField, @stereotype DATA_PROVIDER
org.apache.http.entity.mime.MultipartFormEntity, @stereotype DATA_PROVIDER
org.apache.http.entity.mime.HttpBrowserCompatibleMultipart, @stereotype BOUNDARY DATA_PROVIDER
org.apache.http.entity.mime.FormBodyPart, @stereotype ENTITY
org.apache.http.entity.mime.MIME, @stereotype POOL
org.apache.http.entity.mime.Header, @stereotype BOUNDARY
org.apache.http.entity.mime.MultipartEntityBuilder, @stereotype BOUNDARY COMMANDER
org.apache.http.entity.mime.AbstractMultipartForm, @stereotype BOUNDARY
org.apache.http.entity.mime.content.ByteArrayBody, @stereotype DATA_PROVIDER
org.apache.http.entity.mime.content.StringBody, @stereotype BOUNDARY
org.apache.http.entity.mime.content.ContentDescriptor, @stereotype INTERFACE
org.apache.http.entity.mime.content.ContentBody, @stereotype INTERFACE
org.apache.http.entity.mime.content.InputStreamBody, @stereotype 
org.apache.http.entity.mime.content.FileBody, @stereotype DATA_PROVIDER
org.apache.http.entity.mime.content.AbstractContentBody, @stereotype BOUNDARY DATA_PROVIDER
org.apache.http.entity.mime.MultipartEntity, @stereotype COMMANDER
org.apache.http.entity.mime.HttpMultipart, @stereotype DATA_PROVIDER
org.apache.http.impl.auth.win.TestWindowsNegotiateScheme, @stereotype COMMANDER
org.apache.http.impl.auth.win.WindowsNegotiateScheme, @stereotype ENTITY
org.apache.http.impl.auth.win.WindowsNegotiateSchemeFactory, @stereotype FACTORY
org.apache.http.impl.auth.win.WindowsCredentialsProvider, @stereotype MINIMAL_ENTITY
org.apache.http.impl.auth.win.CurrentWindowsCredentials, @stereotype 
org.apache.http.impl.auth.win.WindowsNTLMSchemeFactory, @stereotype FACTORY
org.apache.http.impl.client.WinHttpClients, @stereotype 
org.apache.http.auth.TestAuthScope, @stereotype BOUNDARY
org.apache.http.auth.TestCredentials, @stereotype BOUNDARY
org.apache.http.localserver.LocalServerTestBase, @stereotype 
org.apache.http.localserver.BasicAuthTokenExtractor, @stereotype BOUNDARY
org.apache.http.localserver.EchoHandler, @stereotype BOUNDARY
org.apache.http.localserver.SSLTestContexts, @stereotype PURE_CONTROLLER
org.apache.http.localserver.RequestBasicAuth, @stereotype BOUNDARY
org.apache.http.localserver.ResponseBasicUnauthorized, @stereotype BOUNDARY
org.apache.http.localserver.RandomHandler, @stereotype BOUNDARY
org.apache.http.client.protocol.TestResponseProcessCookies, @stereotype BOUNDARY COMMANDER
org.apache.http.client.protocol.TestResponseContentEncoding, @stereotype BOUNDARY
org.apache.http.client.protocol.TestRequestAddCookies, @stereotype BOUNDARY COMMANDER
org.apache.http.client.protocol.TestRequestDefaultHeaders, @stereotype BOUNDARY
org.apache.http.client.protocol.TestRequestExpectContinue, @stereotype BOUNDARY
org.apache.http.client.protocol.TestRequestAuthCache, @stereotype BOUNDARY COMMANDER
org.apache.http.client.protocol.TestRequestClientConnControl, @stereotype BOUNDARY
org.apache.http.client.protocol.TestRequestAcceptEncoding, @stereotype BOUNDARY
org.apache.http.client.utils.TestURIUtils, @stereotype BOUNDARY
org.apache.http.client.utils.TestHttpClientUtils, @stereotype BOUNDARY
org.apache.http.client.utils.TestURIBuilder, @stereotype BOUNDARY
org.apache.http.client.utils.TestRequestBuilder, @stereotype BOUNDARY
org.apache.http.client.utils.TestURLEncodedUtils, @stereotype BOUNDARY
org.apache.http.client.utils.TestDateUtils, @stereotype BOUNDARY
org.apache.http.client.methods.TestHttpRequestBase, @stereotype BOUNDARY
org.apache.http.client.methods.TestHttpOptions, @stereotype BOUNDARY
org.apache.http.client.methods.TestRequestBuilder, @stereotype BOUNDARY
org.apache.http.client.entity.TestGZip, @stereotype BOUNDARY
org.apache.http.client.entity.TestEntityBuilder, @stereotype BOUNDARY
org.apache.http.client.entity.TestDeflate, @stereotype BOUNDARY
org.apache.http.client.entity.TestDecompressingEntity, @stereotype BOUNDARY
org.apache.http.client.config.TestRequestConfig, @stereotype BOUNDARY
org.apache.http.conn.routing.TestHttpRoute, @stereotype BOUNDARY
org.apache.http.conn.routing.TestRouteDirector, @stereotype BOUNDARY
org.apache.http.conn.routing.TestRouteTracker, @stereotype BOUNDARY
org.apache.http.conn.util.TestPublicSuffixListParser, @stereotype BOUNDARY
org.apache.http.conn.util.TestInetAddressUtils, @stereotype PURE_CONTROLLER
org.apache.http.conn.util.TestPublicSuffixMatcher, @stereotype BOUNDARY COMMANDER
org.apache.http.conn.TestExceptions, @stereotype BOUNDARY
org.apache.http.conn.TestEofSensorInputStream, @stereotype BOUNDARY COMMANDER
org.apache.http.conn.ssl.TestSSLSocketFactory, @stereotype BOUNDARY COMMANDER
org.apache.http.conn.ssl.TestHostnameVerifier, @stereotype BOUNDARY
org.apache.http.conn.ssl.CertificatesToPlayWith, @stereotype POOL
org.apache.http.conn.ssl.TestDefaultHostnameVerifier, @stereotype 
org.apache.http.impl.auth.TestHttpAuthenticator, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.auth.TestBasicScheme, @stereotype BOUNDARY
org.apache.http.impl.auth.TestDigestScheme, @stereotype BOUNDARY
org.apache.http.impl.auth.TestNTLMEngineImpl, @stereotype BOUNDARY
org.apache.http.impl.auth.TestRFC2617Scheme, @stereotype BOUNDARY
org.apache.http.impl.client.TestAuthenticationStrategy, @stereotype BOUNDARY
org.apache.http.impl.client.TestBasicAuthCache, @stereotype BOUNDARY
org.apache.http.impl.client.TestDefaultConnKeepAliveStrategy, @stereotype BOUNDARY
org.apache.http.impl.client.MockConnPoolControl, @stereotype 
org.apache.http.impl.client.TestFutureRequestExecutionService, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.TestBasicResponseHandler, @stereotype BOUNDARY
org.apache.http.impl.client.TestInternalHttpClient, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.TestCookieIdentityComparator, @stereotype BOUNDARY
org.apache.http.impl.client.integration.TestConnectionManagement, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestClientReauthentication, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestClientAuthenticationFallBack, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestClientAuthentication, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestCookieVirtualHost, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestContentCodings, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestStatefulConnManagement, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestSPNegoScheme, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestClientAuthenticationFakeNTLM, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestRedirects, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestBasicConnectionManager, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestClientRequestExecution, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestAbortHandling, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestIdleConnectionEviction, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestMinimalClientRequestExecution, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestConnectionAutoRelease, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestConnectionReuse, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.integration.TestMalformedServerResponse, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.TestNullBackoffStrategy, @stereotype COMMANDER
org.apache.http.impl.client.TestDefaultRedirectStrategy, @stereotype BOUNDARY
org.apache.http.impl.client.TestDefaultHttpRequestRetryHandler, @stereotype BOUNDARY
org.apache.http.impl.client.TestAIMDBackoffManager, @stereotype COMMANDER
org.apache.http.impl.client.TestIdleConnectionEvictor, @stereotype BOUNDARY
org.apache.http.impl.client.TestRedirectLocation, @stereotype BOUNDARY
org.apache.http.impl.client.TestCloseableHttpClient, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.client.TestAbstractResponseHandler, @stereotype BOUNDARY
org.apache.http.impl.client.MockClock, @stereotype DATA_CLASS
org.apache.http.impl.client.TestBasicCookieStore, @stereotype BOUNDARY
org.apache.http.impl.client.TestBasicCredentialsProvider, @stereotype BOUNDARY
org.apache.http.impl.client.TestDefaultBackoffStrategy, @stereotype COMMANDER
org.apache.http.impl.conn.TestBasicHttpClientConnectionManager, @stereotype BOUNDARY COMMANDER
org.apache.http.impl.conn.SessionInputBufferMock, @stereotype LAZY_CLASS
org.apache.http.impl.conn.TestSystemDefaultRoutePlanner, @stereotype BOUNDARY COMMANDER
