BasicClientCookie, CLASS/INTERFACE, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie, @null
BasicClientCookie(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.BasicClientCookie(), @null
domain, UNIDENTIFIED-TYPE, 1430, 9,  3.1 HTTP cookies, org.apache.http.auth.NTUserPrincipal.domain, @null
attributes, UNIDENTIFIED-TYPE, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.conn.DefaultClientConnection.attributes, @null
cookie.setDomain(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setDomain(), @null
cookie.setPath(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setPath(), @null
attributes, UNIDENTIFIED-TYPE, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.conn.DefaultClientConnection.attributes, @null
server, UNIDENTIFIED-TYPE, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.client.integration.TestCookieVirtualHost.server, @null
cookie.setAttribute(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setAttribute(), @null
cookie.setAttribute(), METHOD, 1430, 9,  3.1 HTTP cookies, org.apache.http.impl.cookie.BasicClientCookie.setAttribute(), @null
CloseableHttpClient, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.impl.client.CloseableHttpClient, @null
httpclient, UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.impl.client.integration.TestCookieVirtualHost.httpclient, @null
HttpClients.createDefault(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.impl.client.HttpClients.createDefault(), @null
HttpGet, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet, @null
HttpGet(), METHOD, 15, 9, 1.1 Request execution, org.apache.http.client.methods.HttpGet.HttpGet(), @null
CloseableHttpResponse, CLASS/INTERFACE, 15, 9, 1.1 Request execution, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.nio.protocol.TestBasicAsyncResponseConsumer.response, @null
httpclient.execute(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.HttpClient.execute(), @null
response.close(), UNIDENTIFIED-TYPE, 15, 9, 1.1 Request execution, org.apache.http.client.entity.LazyDecompressingInputStream.close(), @null
HttpGet, CLASS/INTERFACE, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet, @null
HttpGet(), METHOD, 40, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @null
URIBuilder(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.URIBuilder(), @null
setScheme(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setScheme(), @null
setHost(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setHost(), @null
setPath(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setPath(), @null
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @null
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @null
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @null
setParameter(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.utils.URIBuilder.setParameter(), @null
build(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.entity.EntityBuilder.build(), @null
HttpGet, CLASS/INTERFACE, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet, @null
HttpGet(), METHOD, 46, 13, 1.1.1 HTTP request, org.apache.http.client.methods.HttpGet.HttpGet(), @null
HttpResponse, CLASS/INTERFACE, 70, 13, 1.1.2 HTTP response, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 70, 13, 1.1.2 HTTP response, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 70, 13, 1.1.2 HTTP response, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
1.1(), UNIDENTIFIED-TYPE, 80, 13, 1.1.2 HTTP response, org.apache.http.entity.mime.TestMultipartContentBody.testStringBodyInvalidConstruction1(), @null
1.1(), UNIDENTIFIED-TYPE, 80, 13, 1.1.2 HTTP response, org.apache.http.entity.mime.TestMultipartContentBody.testStringBodyInvalidConstruction1(), @null
HttpResponse, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 92, 13, 1.1.3 Working with message headers, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
response.addHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
response.addHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
Header, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.entity.mime.Header, @null
response.getFirstHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.getFirstHeader(), @null
Header, CLASS/INTERFACE, 92, 13, 1.1.3 Working with message headers, org.apache.http.entity.mime.Header, @null
response.getLastHeader(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.getLastHeader(), @null
response.getHeaders(), METHOD, 92, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.getHeaders(), @null
Set(), METHOD, 107, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
Set(), METHOD, 107, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
HttpResponse, CLASS/INTERFACE, 114, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 114, 13, 1.1.3 Working with message headers, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
response.addHeader(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
response.addHeader(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
HeaderIterator, CLASS/INTERFACE, 114, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicListHeaderIterator, @null
response.headerIterator(), METHOD, 114, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.headerIterator(), @null
Set(), METHOD, 129, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
Set(), METHOD, 129, 13, 1.1.3 Working with message headers, org.apache.http.client.protocol.TestRequestAuthCache.testAuthSchemeAlreadySet(), @null
HttpResponse, CLASS/INTERFACE, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.fluent.Response.response, @null
BasicHttpResponse(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHttpResponse.BasicHttpResponse(), @null
response.addHeader(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
response.addHeader(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.addHeader(), @null
HeaderElementIterator, CLASS/INTERFACE, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHeaderElementIterator, @null
BasicHeaderElementIterator(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHeaderElementIterator.BasicHeaderElementIterator(), @null
response.headerIterator(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.impl.entity.DummyHttpMessage.headerIterator(), @null
HeaderElement, CLASS/INTERFACE, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.TestHeaderElement, @null
it.nextElement(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.message.BasicHeaderElementIterator.nextElement(), @null
elem.getValue(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.cookie.Cookie.getValue(), @null
params, UNIDENTIFIED-TYPE, 135, 13, 1.1.3 Working with message headers, org.apache.http.entity.ContentType.params, @null
elem.getParameters(), METHOD, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.entity.EntityBuilder.getParameters(), @null
params.length(), UNIDENTIFIED-TYPE, 135, 13, 1.1.3 Working with message headers, org.apache.http.client.cache.Resource.length(), @null
StringEntity, CLASS/INTERFACE, 239, 17, 1.1.4.2 Using HTTP entities, org.apache.http.entity.StringEntity, @null
StringEntity(), METHOD, 239, 17, 1.1.4.2 Using HTTP entities, org.apache.http.entity.StringEntity.StringEntity(), @null
ContentType.create(), METHOD, 239, 17, 1.1.4.2 Using HTTP entities, org.apache.http.entity.ContentType.create(), @null
Content(), METHOD, 248, 17, 1.1.4.2 Using HTTP entities, org.apache.http.entity.StringEntity.getContent(), @null
message, UNIDENTIFIED-TYPE, 248, 17, 1.1.4.2 Using HTTP entities, org.apache.http.impl.io.HttpRequestParser.message, @null
CloseableHttpClient, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.CloseableHttpClient, @null
httpclient, UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.integration.TestCookieVirtualHost.httpclient, @null
HttpClients.createDefault(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.HttpClients.createDefault(), @null
HttpGet, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet, @null
HttpGet(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @null
CloseableHttpResponse, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.fluent.Response.response, @null
httpclient.execute(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @null
HttpEntity, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.BufferedHttpEntity, @null
entity, UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.mime.MultipartEntity.entity, @null
response.getEntity(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.mime.MultipartEntity.getEntity(), @null
InputStream, CLASS/INTERFACE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.entity.LazyDecompressingInputStream, @null
instream, UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.io.SocketInputBuffer.instream, @null
entity.getContent(), METHOD, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.entity.UrlEncodedFormEntity.getContent(), @null
instream.close(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.entity.LazyDecompressingInputStream.close(), @null
response.close(), UNIDENTIFIED-TYPE, 260, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.entity.LazyDecompressingInputStream.close(), @null
CloseableHttpClient, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.CloseableHttpClient, @null
httpclient, UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.integration.TestCookieVirtualHost.httpclient, @null
HttpClients.createDefault(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.client.HttpClients.createDefault(), @null
HttpGet, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet, @null
HttpGet(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.HttpGet.HttpGet(), @null
CloseableHttpResponse, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.methods.CloseableHttpResponse, @null
response, UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.fluent.Response.response, @null
httpclient.execute(), UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.HttpClient.execute(), @null
HttpEntity, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.BufferedHttpEntity, @null
entity, UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.mime.MultipartEntity.entity, @null
response.getEntity(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.entity.mime.MultipartEntity.getEntity(), @null
InputStream, CLASS/INTERFACE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.entity.LazyDecompressingInputStream, @null
instream, UNIDENTIFIED-TYPE, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.impl.io.SocketInputBuffer.instream, @null
entity.getContent(), METHOD, 296, 13, 1.1.5 Ensuring release of low level resources, org.apache.http.client.entity.UrlEncodedFormEntity.getContent(), @null
