optionally.(), UNIDENTIFIED-TYPE, 410, 1, 2.3.1 Dependency Management and Naming Conventions, org.springframework.context.annotation.configuration.a.BaseConfig.reproBar(), @LOCAL_CONTROLLER
compile(), METHOD, 418, 1, 2.3.1 Dependency Management and Naming Conventions, org.springframework.jdbc.core.simple.AbstractJdbcInsert.compile(), @
GroovyBeanDefinitionReader(), METHOD, 700, 1, 3.5 Groovy Bean Definition DSL, org.springframework.beans.factory.groovy.GroovyBeanDefinitionReader(), @
reader.beans(), UNIDENTIFIED-TYPE, 700, 1, 3.5 Groovy Bean Definition DSL, org.springframework.beans.factory.groovy.GroovyBeanDefinitionReader.beans(), @
dataSource(), METHOD, 700, 1, 3.5 Groovy Bean Definition DSL, org.springframework.transaction.annotation.EnableTransactionManagementIntegrationTests.Config.dataSource(), @
myService(), METHOD, 700, 1, 3.5 Groovy Bean Definition DSL, org.springframework.remoting.httpinvoker.HttpInvokerFactoryBeanIntegrationTests.ConfigWithPlainFactoryBean.myService(), @
AnotherBean, CLASS/INTERFACE, 700, 1, 3.5 Groovy Bean Definition DSL, org.springframework.jms.support.converter.MappingJackson2MessageConverterTests.MyAnotherBean, @
ContextConfiguration, CLASS/INTERFACE, 1079, 1, 5.1 Core Container Improvements, org.springframework.test.context.junit4.annotation.DefaultConfigClassesBaseTests.ContextConfiguration, @
value(), METHOD, 1079, 1, 5.1 Core Container Improvements, org.springframework.core.annotation.AliasFor.value(), @
locations(), METHOD, 1079, 1, 5.1 Core Container Improvements, org.springframework.test.context.ContextConfiguration.locations(), @
ContextConfiguration.class(), METHOD, 1098, 1, 5.1 Core Container Improvements, org.springframework.messaging.handler.annotation.support.HeadersMethodArgumentResolverTests.resolveArgumentMessageHeaderAccessorSubclass(), @
xmlFiles(), METHOD, 1098, 1, 5.1 Core Container Improvements, org.springframework.core.annotation.AnnotatedElementUtilsTests.ImplicitAliasesContextConfig.xmlFiles(), @
ApplicationContext, CLASS/INTERFACE, 1670, 1, 7.2.2 Instantiating a container, org.springframework.context.ApplicationContext, @
ClassPathXmlApplicationContext(), METHOD, 1670, 1, 7.2.2 Instantiating a container, org.springframework.web.context.ContextLoaderTests.testClassPathXmlApplicationContext(), @
ApplicationContext, CLASS/INTERFACE, 1768, 1, 7.2.3 Using the container, org.springframework.context.ApplicationContext, @
ClassPathXmlApplicationContext(), METHOD, 1768, 1, 7.2.3 Using the container, org.springframework.web.context.ContextLoaderTests.testClassPathXmlApplicationContext(), @
context.getBean(), METHOD, 1768, 1, 7.2.3 Using the container, org.springframework.beans.factory.xml.ProfileXmlBeanDefinitionTests.containsTargetBean(), @
factory(), METHOD, 1960, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
createInstance(), METHOD, 1963, 1, 7.3.2 Instantiating beans, org.springframework.beans.factory.serviceloader.ServiceListFactoryBean.createInstance(), @
createInstance(), METHOD, 1983, 1, 7.3.2 Instantiating beans, org.springframework.beans.factory.serviceloader.ServiceListFactoryBean.createInstance(), @
factory(), METHOD, 1983, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
factory(), METHOD, 1983, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
factory(), METHOD, 2002, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
factory(), METHOD, 2002, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
factory(), METHOD, 2002, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
factory(), METHOD, 2002, 1, 7.3.2 Instantiating beans, org.springframework.jms.connection.SingleConnectionFactory.SharedConnectionInvocationHandler.factory(), @
Spring, CLASS/INTERFACE, 2073, 1, 7.4.1 Dependency Injection, org.springframework.beans.factory.aspectj.ShouldBeConfiguredBySpring, @
omitted.(), UNIDENTIFIED-TYPE, 2073, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.a.BaseConfig.reproBar(), @LOCAL_CONTROLLER
x.y(), UNIDENTIFIED-TYPE, 2092, 1, 7.4.1 Dependency Injection, org.springframework.core.type.classreading.CachingMetadataReaderFactory(), @
Foo(), METHOD, 2092, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.ScopingTests.Bar.getFoo(), @
ExampleBean, CLASS/INTERFACE, 2119, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
Number, CLASS/INTERFACE, 2119, 1, 7.4.1 Dependency Injection, org.springframework.web.servlet.config.MvcNamespaceTests.PercentNumber, @
Answer, CLASS/INTERFACE, 2119, 1, 7.4.1 Dependency Injection, org.springframework.util.xml.AbstractStaxXMLReaderTestCase.CopyCharsAnswer, @
Answer, CLASS/INTERFACE, 2119, 1, 7.4.1 Dependency Injection, org.springframework.util.xml.AbstractStaxXMLReaderTestCase.CopyCharsAnswer, @
String, CLASS/INTERFACE, 2119, 1, 7.4.1 Dependency Injection, org.springframework.expression.spel.SpelCompilationCoverageTests.FooString, @
ExampleBean(), METHOD, 2119, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean(), @
String, CLASS/INTERFACE, 2119, 1, 7.4.1 Dependency Injection, org.springframework.expression.spel.SpelCompilationCoverageTests.FooString, @
ExampleBean, CLASS/INTERFACE, 2162, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
Fields, CLASS/INTERFACE, 2162, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.AutowiredConfigurationTests.ValueConfigWithProviderFields, @
ExampleBean(), METHOD, 2162, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean(), @
String, CLASS/INTERFACE, 2162, 1, 7.4.1 Dependency Injection, org.springframework.expression.spel.SpelCompilationCoverageTests.FooString, @
Spring, CLASS/INTERFACE, 2185, 1, 7.4.1 Dependency Injection, org.springframework.beans.factory.aspectj.ShouldBeConfiguredBySpring, @
omitted.(), UNIDENTIFIED-TYPE, 2185, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.a.BaseConfig.reproBar(), @LOCAL_CONTROLLER
ExampleBean, CLASS/INTERFACE, 2317, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
AnotherBean, CLASS/INTERFACE, 2317, 1, 7.4.1 Dependency Injection, org.springframework.jms.support.converter.MappingJackson2MessageConverterTests.MyAnotherBean, @
this.beanOne(), METHOD, 2317, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.ImportWithConditionTests.BeanProvidingConfiguration.beanOne(), @
this.i(), UNIDENTIFIED-TYPE, 2317, 1, 7.4.1 Dependency Injection, org.springframework.beans.factory.config.PropertyResourceConfigurerTests.MockPreferences.putSpi(), @
ExampleBean, CLASS/INTERFACE, 2352, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
AnotherBean, CLASS/INTERFACE, 2352, 1, 7.4.1 Dependency Injection, org.springframework.jms.support.converter.MappingJackson2MessageConverterTests.MyAnotherBean, @
ExampleBean(), METHOD, 2352, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean(), @
AnotherBean, CLASS/INTERFACE, 2352, 1, 7.4.1 Dependency Injection, org.springframework.jms.support.converter.MappingJackson2MessageConverterTests.MyAnotherBean, @
this.beanOne(), METHOD, 2352, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.ImportWithConditionTests.BeanProvidingConfiguration.beanOne(), @
this.i(), UNIDENTIFIED-TYPE, 2352, 1, 7.4.1 Dependency Injection, org.springframework.beans.factory.config.PropertyResourceConfigurerTests.MockPreferences.putSpi(), @
factory(), METHOD, 2370, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.PropertySource.factory(), @
ExampleBean, CLASS/INTERFACE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
ExampleBean(), METHOD, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean(), @
used.(), UNIDENTIFIED-TYPE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.a.BaseConfig.reproBar(), @LOCAL_CONTROLLER
ExampleBean, CLASS/INTERFACE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
AnotherBean, CLASS/INTERFACE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.jms.support.converter.MappingJackson2MessageConverterTests.MyAnotherBean, @
ExampleBean, CLASS/INTERFACE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
ExampleBean, CLASS/INTERFACE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.ConfigurationClassWithConditionTests.ExampleBean, @
operations.(), UNIDENTIFIED-TYPE, 2378, 1, 7.4.1 Dependency Injection, org.springframework.context.annotation.configuration.a.BaseConfig.reproBar(), @LOCAL_CONTROLLER
destroy(), METHOD, 2418, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.support.security.support.DestroyBean.destroy(), @
setDriverClassName(), METHOD, 2418, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.jdbc.datasource.DriverManagerDataSource.setDriverClassName(), @
destroy(), METHOD, 2427, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.support.security.support.DestroyBean.destroy(), @
java.util.Properties, PACKAGE, 2447, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.support.ManagedProperties, @
setSomeList(), METHOD, 2569, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.DefaultListableBeanFactoryTests.LowPriorityTestBean.setSomeList(), @
setSomeMap(), METHOD, 2569, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.DefaultListableBeanFactoryTests.LowPriorityTestBean.setSomeMap(), @
value(), METHOD, 2569, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.support.InjectAnnotationAutowireContextTests.TestQualifierWithMultipleAttributes.value(), @
setSomeSet(), METHOD, 2569, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.beans.factory.DefaultListableBeanFactoryTests.LowPriorityTestBean.setSomeSet(), @
exampleBean.setEmail(), METHOD, 2704, 1, 7.4.2 Dependencies and configuration in detail, org.springframework.validation.beanvalidation.SpringValidatorAdapterTests.TestBean.setEmail(), @
