ExpressionParser, CLASS/INTERFACE, 8, 1, , org.springframework.expression.spel.standard.SpelExpressionParser, @
parser, UNIDENTIFIED-TYPE, 8, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.parser, @
SpelExpressionParser(), METHOD, 8, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.mockSpelExpressionParser(), @
Expression, CLASS/INTERFACE, 8, 1, , org.springframework.expression.Expression, @
parser.parseExpression(), METHOD, 8, 1, , org.springframework.expression.spel.standard.SpelExpressionParser.parseExpression(), @
String, CLASS/INTERFACE, 8, 1, , org.springframework.expression.spel.standard.Tokenizer.expressionString, @
message, UNIDENTIFIED-TYPE, 8, 1, , org.springframework.expression.spel.SpelEvaluationException.message, @
exp.getValue(), METHOD, 8, 1, , org.springframework.expression.Expression.getValue(), @
ExpressionParser, CLASS/INTERFACE, 23, 1, , org.springframework.expression.spel.standard.SpelExpressionParser, @
parser, UNIDENTIFIED-TYPE, 23, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.parser, @
SpelExpressionParser(), METHOD, 23, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.mockSpelExpressionParser(), @
Expression, CLASS/INTERFACE, 23, 1, , org.springframework.expression.Expression, @
parser.parseExpression(), METHOD, 23, 1, , org.springframework.expression.spel.standard.SpelExpressionParser.parseExpression(), @
World.concat(), METHOD, 23, 1, , org.springframework.expression.spel.SpelCompilationCoverageTests.concat(), @
String, CLASS/INTERFACE, 23, 1, , org.springframework.expression.spel.standard.Tokenizer.expressionString, @
message, UNIDENTIFIED-TYPE, 23, 1, , org.springframework.expression.spel.SpelEvaluationException.message, @
exp.getValue(), METHOD, 23, 1, , org.springframework.expression.Expression.getValue(), @
ExpressionParser, CLASS/INTERFACE, 29, 1, , org.springframework.expression.spel.standard.SpelExpressionParser, @
parser, UNIDENTIFIED-TYPE, 29, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.parser, @
SpelExpressionParser(), METHOD, 29, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.mockSpelExpressionParser(), @
getBytes(), METHOD, 29, 1, , org.springframework.http.converter.json.GsonFactoryBeanTests.ByteArrayBean.getBytes(), @
Expression, CLASS/INTERFACE, 29, 1, , org.springframework.expression.Expression, @
parser.parseExpression(), METHOD, 29, 1, , org.springframework.expression.spel.standard.SpelExpressionParser.parseExpression(), @
bytes, UNIDENTIFIED-TYPE, 29, 1, , org.springframework.expression.spel.testresources.ArrayContainer.bytes, @
exp.getValue(), METHOD, 29, 1, , org.springframework.expression.Expression.getValue(), @
ExpressionParser, CLASS/INTERFACE, 37, 1, , org.springframework.expression.spel.standard.SpelExpressionParser, @
parser, UNIDENTIFIED-TYPE, 37, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.parser, @
SpelExpressionParser(), METHOD, 37, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.mockSpelExpressionParser(), @
getBytes(), METHOD, 37, 1, , org.springframework.http.converter.json.GsonFactoryBeanTests.ByteArrayBean.getBytes(), @
Expression, CLASS/INTERFACE, 37, 1, , org.springframework.expression.Expression, @
parser.parseExpression(), METHOD, 37, 1, , org.springframework.expression.spel.standard.SpelExpressionParser.parseExpression(), @
length, UNIDENTIFIED-TYPE, 37, 1, , org.springframework.jdbc.core.support.SqlLobValue.length, @
exp.getValue(), METHOD, 37, 1, , org.springframework.expression.Expression.getValue(), @
ExpressionParser, CLASS/INTERFACE, 43, 1, , org.springframework.expression.spel.standard.SpelExpressionParser, @
parser, UNIDENTIFIED-TYPE, 43, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.parser, @
SpelExpressionParser(), METHOD, 43, 1, , org.springframework.context.expression.CachedExpressionEvaluatorTests.TestExpressionEvaluator.mockSpelExpressionParser(), @
Expression, CLASS/INTERFACE, 43, 1, , org.springframework.expression.Expression, @
parser.parseExpression(), METHOD, 43, 1, , org.springframework.expression.spel.standard.SpelExpressionParser.parseExpression(), @
String(), METHOD, 43, 1, , org.springframework.context.expression.AnnotatedElementKey.toString(), @
String, CLASS/INTERFACE, 43, 1, , org.springframework.expression.spel.standard.Tokenizer.expressionString, @
message, UNIDENTIFIED-TYPE, 43, 1, , org.springframework.expression.spel.SpelEvaluationException.message, @
exp.getValue(), METHOD, 43, 1, , org.springframework.expression.Expression.getValue(), @
Create, CLASS/INTERFACE, 55, 1, , org.springframework.orm.jdo.support.SpringPersistenceManagerProxyBean.allowCreate, @
calendar, UNIDENTIFIED-TYPE, 55, 1, , org.springframework.scheduling.support.CronTriggerTests.calendar, @
GregorianCalendar(), METHOD, 55, 1, , org.springframework.oxm.jaxb.StandardClasses.standardClassGregorianCalendar(), @
c.set(), UNIDENTIFIED-TYPE, 55, 1, , org.springframework.expression.spel.SpelCompilationCoverageTests.TestClass7.reset(), @
